CAFA_Id,Uniprot_Id
T96060000001,1433B_HUMAN
T96060000002,1433E_HUMAN
T96060000003,1433F_HUMAN
T96060000004,1433G_HUMAN
T96060000005,1433S_HUMAN
T96060000006,1433T_HUMAN
T96060000007,1433Z_HUMAN
T96060000008,1A01_HUMAN
T96060000009,1A02_HUMAN
T96060000010,1A03_HUMAN
T96060000011,1A11_HUMAN
T96060000012,1A1L1_HUMAN
T96060000013,1A1L2_HUMAN
T96060000014,1A23_HUMAN
T96060000015,1A24_HUMAN
T96060000016,1A25_HUMAN
T96060000017,1A26_HUMAN
T96060000018,1A29_HUMAN
T96060000019,1A30_HUMAN
T96060000020,1A31_HUMAN
T96060000021,1A32_HUMAN
T96060000022,1A33_HUMAN
T96060000023,1A34_HUMAN
T96060000024,1A36_HUMAN
T96060000025,1A43_HUMAN
T96060000026,1A66_HUMAN
T96060000027,1A68_HUMAN
T96060000028,1A69_HUMAN
T96060000029,1A74_HUMAN
T96060000030,1A80_HUMAN
T96060000031,1B07_HUMAN
T96060000032,1B08_HUMAN
T96060000033,1B13_HUMAN
T96060000034,1B14_HUMAN
T96060000035,1B15_HUMAN
T96060000036,1B18_HUMAN
T96060000037,1B27_HUMAN
T96060000038,1B35_HUMAN
T96060000039,1B37_HUMAN
T96060000040,1B38_HUMAN
T96060000041,1B39_HUMAN
T96060000042,1B40_HUMAN
T96060000043,1B41_HUMAN
T96060000044,1B42_HUMAN
T96060000045,1B44_HUMAN
T96060000046,1B45_HUMAN
T96060000047,1B46_HUMAN
T96060000048,1B47_HUMAN
T96060000049,1B48_HUMAN
T96060000050,1B49_HUMAN
T96060000051,1B50_HUMAN
T96060000052,1B51_HUMAN
T96060000053,1B52_HUMAN
T96060000054,1B53_HUMAN
T96060000055,1B54_HUMAN
T96060000056,1B55_HUMAN
T96060000057,1B56_HUMAN
T96060000058,1B57_HUMAN
T96060000059,1B58_HUMAN
T96060000060,1B59_HUMAN
T96060000061,1B67_HUMAN
T96060000062,1B73_HUMAN
T96060000063,1B78_HUMAN
T96060000064,1B81_HUMAN
T96060000065,1B82_HUMAN
T96060000066,1C01_HUMAN
T96060000067,1C02_HUMAN
T96060000068,1C03_HUMAN
T96060000069,1C04_HUMAN
T96060000070,1C05_HUMAN
T96060000071,1C06_HUMAN
T96060000072,1C07_HUMAN
T96060000073,1C08_HUMAN
T96060000074,1C12_HUMAN
T96060000075,1C14_HUMAN
T96060000076,1C15_HUMAN
T96060000077,1C16_HUMAN
T96060000078,1C17_HUMAN
T96060000079,1C18_HUMAN
T96060000080,2A5A_HUMAN
T96060000081,2A5B_HUMAN
T96060000082,2A5D_HUMAN
T96060000083,2A5E_HUMAN
T96060000084,2A5G_HUMAN
T96060000085,2AAA_HUMAN
T96060000086,2AAB_HUMAN
T96060000087,2ABA_HUMAN
T96060000088,2ABB_HUMAN
T96060000089,2ABD_HUMAN
T96060000090,2ABG_HUMAN
T96060000091,2B11_HUMAN
T96060000092,2B13_HUMAN
T96060000093,2B14_HUMAN
T96060000094,2B17_HUMAN
T96060000095,2B18_HUMAN
T96060000096,2B19_HUMAN
T96060000097,2B1A_HUMAN
T96060000098,2B1B_HUMAN
T96060000099,2B1C_HUMAN
T96060000100,2B1D_HUMAN
T96060000101,2B1E_HUMAN
T96060000102,2B1F_HUMAN
T96060000103,2B1G_HUMAN
T96060000104,3BHS1_HUMAN
T96060000105,3BHS2_HUMAN
T96060000106,3BHS7_HUMAN
T96060000107,3BP1_HUMAN
